
YEAR,WINNERS,WON BY,RUNNER UP,	VENUE
2022	,Gujarat Titans	,7 wickets	,Rajasthan Royals	,Ahmedabad
2021	,Chennai Super Kings	,27 runs	,Kolkata Knight Riders	,Dubai
2020	,Mumbai Indians	,5 wickets	,Delhi Capitals	,Dubai
2019	,Mumbai Indians	,1 run	,Chennai Super Kings	,Hyderabad
2018	,Chennai Super Kings	,8 wickets	,Sunrisers Hyderabad	,Mumbai
2017	,Mumbai Indians	,1 run	,Rising Pune Supergiants	,Hyderabad
2016	,Sunrisers Hyderabad	,8 runs	,Royal Challengers Bangalore	,Bangalore
2015	,Mumbai Indians	,41 runs	,Chennai Super Kings	,Kolkata
2014	,Kolkata Knight Riders	,3 wickets	,Kings XI Punjab	,Bangalore
2013	,Mumbai Indians	,23 runs	,Chennai Super Kings	,Kolkata
2012	,Kolkata Knight Riders	,5 wickets	,Chennai Super Kings	,Chennai
2011	,Chennai Super Kings	,58 runs	,Royal Challengers Bangalore	,Chennai
2010	,Chennai Super Kings	,22 runs	,Mumbai Indians	,Mumbai
2009	,Deccan Chargers	,6 runs	,Royal Challengers Bangalore	,Johannesburg
2008	,Rajasthan Royals	,3 wickets	,Chennai Super Kings	,Mumbai
